181,Gold,2012 Summer,Adenzia Aparecida Ferreira da Silva,Brazil,Volleyball Women's Volleyball
182,Bronze,1992 Summer,Franck Adisson,France-1,"Canoeing Men's Canadian Doubles, Slalom"
183,Gold,1996 Summer,Franck Adisson,France-1,"Canoeing Men's Canadian Doubles, Slalom"
184,Silver,2010 Winter,"Richard ""Richy""  Adjei",Germany-2,Bobsleigh Men's Two
185,Bronze,1992 Summer,Sammi Adjei,Ghana,Football Men's Football
186,Gold,1952 Summer,"Charles ""Chuck"" Adkins",United States,Boxing Men's Light-Welterweight
187,Gold,1996 Summer,Derrick Ralph Adkins,United States,Athletics Men's 400 metres Hurdles
188,Silver,1948 Summer,"Robert Edward ""Bob"" Adlard",Great Britain,Hockey Men's Hockey
189,Silver,1984 Summer,Daniel Adler,Brazil,Sailing Mixed Three Person Keelboat
190,Silver,1960 Summer,Egon Adler,Germany,Cycling Men's 100 kilometres Team Time Trial
191,Bronze,1912 Summer,"Margarete ""Grete"" Adler",Austria,Swimming Women's 4 x 100 metres Freestyle Relay
192,Bronze,1936 Summer,Gregor Nils Henric Adlercreutz,Sweden,"Equestrianism Men's Dressage, Team"
193,Gold,1912 Summer,Nils August Domingo Adlercreutz,Sweden,"Equestrianism Men's Three-Day Event, Team"
194,Bronze,1908 Summer,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),Sweden,"Tennis Women's Singles, Covered Courts"
195,Gold,1912 Summer,Erik William Adlerz,Sweden,Diving Men's Platform
196,Gold,1912 Summer,Erik William Adlerz,Sweden,Diving Men's Plain High
197,Silver,1920 Summer,Erik William Adlerz,Sweden,Diving Men's Platform
198,Gold,2008 Summer,"Rebecca ""Becky"" Adlington",Great Britain,Swimming Women's 400 metres Freestyle
199,Gold,2008 Summer,"Rebecca ""Becky"" Adlington",Great Britain,Swimming Women's 800 metres Freestyle
200,Bronze,2012 Summer,"Rebecca ""Becky"" Adlington",Great Britain,Swimming Women's 400 metres Freestyle
201,Bronze,2012 Summer,"Rebecca ""Becky"" Adlington",Great Britain,Swimming Women's 800 metres Freestyle
202,Bronze,2000 Summer,Dainius Adomaitis,Lithuania,Basketball Men's Basketball
203,Gold,2008 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 4 x 100 metres Freestyle Relay
204,Gold,2012 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 100 metres Freestyle
205,Silver,2012 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 4 x 100 metres Freestyle Relay
206,Gold,2012 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 4 x 100 metres Medley Relay
207,Bronze,2016 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 50 metres Freestyle
208,Bronze,2016 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 100 metres Freestyle
209,Gold,2016 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 4 x 100 metres Freestyle Relay
210,Gold,2016 Summer,Nathan Ghar-Jun Adrian,United States,Swimming Men's 4 x 100 metres Medley Relay
211,Silver,1996 Summer,Adriana Aparecida dos Santos,Brazil,Basketball Women's Basketball
212,Bronze,2000 Summer,Adriana Aparecida dos Santos,Brazil,Basketball Women's Basketball
213,Bronze,2000 Summer,"Adriana ""Adrianinha"" Moiss Pinto",Brazil,Basketball Women's Basketball
214,Silver,1996 Summer,Attila Adrovicz,Hungary,"Canoeing Men's Kayak Fours, 1,000 metres"
215,Silver,1964 Summer,Klaus Aeffke,Germany,Rowing Men's Coxed Eights
216,Silver,2012 Summer,Kseniya Dmitriyevna Afanasyeva,Russia,Gymnastics Women's Team All-Around
217,Bronze,2002 Winter,Maksim Sergeyevich Afinogenov,Russia,Ice Hockey Men's Ice Hockey
218,Silver,1996 Summer,"Olabisi ""Bisi"" Afolabi",Nigeria,Athletics Women's 4 x 400 metres Relay
219,Bronze,1976 Summer,Felicia Afrsiloaie (-Jitianu),Romania,Rowing Women's Coxed Quadruple Sculls
220,Bronze,2016 Summer,Cecil Sebastian Afrika,South Africa,Rugby Sevens Men's Rugby Sevens
221,Silver,1964 Summer,Muhammad Afzal Manna,Pakistan,Hockey Men's Hockey
222,Bronze,2016 Summer,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",South Africa,Rugby Sevens Men's Rugby Sevens
223,Gold,1984 Summer,Lavinia Agache (-Carney),Romania,Gymnastics Women's Team All-Around
224,Bronze,1984 Summer,Lavinia Agache (-Carney),Romania,Gymnastics Women's Horse Vault
225,Bronze,2004 Summer,Luca Agamennoni,Italy,Rowing Men's Coxless Fours
226,Silver,2008 Summer,Luca Agamennoni,Italy,Rowing Men's Quadruple Sculls
227,Gold,1996 Summer,Andre Kirk Agassi,United States,Tennis Men's Singles
228,Silver,2016 Summer,Clarisse Agbegnenou,France,Judo Women's Half-Middleweight
229,Bronze,1920 Summer,Henrik Agersborg,Stella-2,Sailing Mixed 6 metres
230,Bronze,1956 Summer,Viktor Ivanovich Ageyev,Soviet Union,Water Polo Men's Water Polo
231,Silver,1960 Summer,Viktor Ivanovich Ageyev,Soviet Union,Water Polo Men's Water Polo
232,Bronze,1964 Summer,Viktor Ivanovich Ageyev,Soviet Union,Water Polo Men's Water Polo
233,Gold,2008 Summer,Marilyn Agliotti,Netherlands,Hockey Women's Hockey
234,Gold,2012 Summer,Marilyn Agliotti,Netherlands,Hockey Women's Hockey
235,Gold,2012 Summer,Yannick Agnel,France,Swimming Men's 200 metres Freestyle
236,Gold,2012 Summer,Yannick Agnel,France,Swimming Men's 4 x 100 metres Freestyle Relay
237,Silver,2012 Summer,Yannick Agnel,France,Swimming Men's 4 x 200 metres Freestyle Relay
